id,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
43,8,11,2,14,4,20,6,0.18,10,3,0,27,1,0,20,0,0,0,26.76,22.02,12978.67,0.2,110,0.05,721.04,589.33,0,5,10,23,0.13,51,59,22,19,48,47.37,34,N
44,8,11,2,14,4,20,6,0.18,10,3,0,27,1,0,20,0,0,0,26.76,22.02,12978.67,0.2,110,0.05,721.04,589.33,0,5,10,23,0.13,51,59,22,19,48,47.37,34,N
45,8,9,3,13,4,16,5,0.16,8,3,0,25,1,0,19,0,0,0,29.26,19.96,11654.07,0.19,109,0.05,647.45,583.97,0,4,8,22,0.11,51,58,23,18,46,47.22,32,N
46,8,11,2,14,4,20,6,0.18,10,3,0,27,1,0,20,0,0,0,26.76,22.02,12978.67,0.2,110,0.05,721.04,589.33,0,5,10,23,0.13,51,59,22,19,48,47.37,34,N
47,8,9,3,13,4,16,5,0.16,8,3,0,25,1,0,19,0,0,0,29.26,19.96,11654.07,0.19,109,0.05,647.45,583.97,0,4,8,22,0.11,51,58,23,18,46,47.22,32,N
48,8,11,2,14,4,20,6,0.18,10,3,0,27,1,0,20,0,0,0,26.76,22.02,12978.67,0.2,110,0.05,721.04,589.33,0,5,10,23,0.13,51,59,22,19,48,47.37,34,N
49,8,11,2,14,4,20,6,0.18,10,3,0,27,1,0,20,0,0,0,26.76,22.02,12978.67,0.2,110,0.05,721.04,589.33,0,5,10,23,0.13,51,59,22,19,48,47.37,34,N
50,8,11,2,14,4,20,6,0.18,10,3,0,27,1,0,20,0,0,0,26.76,22.02,12978.67,0.2,110,0.05,721.04,589.33,0,5,10,23,0.13,51,59,22,19,48,47.37,34,N
51,8,11,2,14,4,20,6,0.18,10,3,0,27,1,0,20,0,0,0,26.76,22.02,12978.67,0.2,110,0.05,721.04,589.33,0,5,10,23,0.13,51,59,22,19,48,47.37,34,N
52,8,11,2,14,4,20,6,0.18,10,3,0,27,1,0,20,0,0,0,26.76,22.02,12978.67,0.2,110,0.05,721.04,589.33,0,5,10,23,0.13,51,59,22,19,48,47.37,34,N
53,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
54,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
55,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
56,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
57,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
58,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
59,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
60,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
61,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
62,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
63,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
64,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
65,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
66,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
67,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
68,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
69,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
70,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
71,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
72,2,1,0,0,3,0,1,0.14,0,1,1,5,1,0,7,0,0,0,20.08,5.5,607.27,0.04,29,0.18,33.74,110.41,1,0,0,6,0.07,11,18,7,7,14,30,7,N
73,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
74,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
75,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
76,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
77,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
78,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
79,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
80,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
81,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
82,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
83,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
84,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
85,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
86,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
87,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
88,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
89,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
90,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
91,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
92,0,1,1,1,0,0,1,0.5,0,1,1,2,1,0,1,0,0,0,9.83,2,39.3,0.01,7,0.5,2.18,19.65,1,0,0,3,0.25,3,4,3,4,4,50,2,N
93,0,1,0,1,0,0,1,0.5,0,1,1,1,1,0,1,1,0,0,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1,0,0,2,0.25,3,8,3,7,4,50,2,N
94,0,1,0,1,0,0,1,0.5,0,1,1,1,1,0,1,1,0,0,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1,0,0,2,0.25,3,8,3,7,4,50,2,N
95,0,1,0,1,0,0,1,0.5,0,1,1,1,1,0,1,1,0,0,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1,0,0,2,0.25,3,8,3,7,4,50,2,N
96,0,1,0,1,0,0,1,0.5,0,1,1,1,1,0,1,1,0,0,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1,0,0,2,0.25,3,8,3,7,4,50,2,N
97,0,1,0,1,0,0,1,0.5,0,1,1,1,1,0,1,1,0,0,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1,0,0,2,0.25,3,8,3,7,4,50,2,N
98,0,1,0,1,0,0,1,0.5,0,1,1,1,1,0,1,1,0,0,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1,0,0,2,0.25,3,8,3,7,4,50,2,N
99,0,1,0,1,0,0,1,0.5,0,1,1,1,1,0,1,1,0,0,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1,0,0,2,0.25,3,8,3,7,4,50,2,N
100,0,1,0,1,0,0,1,0.5,0,1,1,1,1,0,1,1,0,0,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1,0,0,2,0.25,3,8,3,7,4,50,2,N
101,0,1,0,1,0,0,1,0.5,0,1,1,1,1,0,1,1,0,0,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1,0,0,2,0.25,3,8,3,7,4,50,2,N
102,0,1,0,1,0,0,1,0.5,0,1,1,1,1,0,1,1,0,0,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,1,0,0,2,0.25,3,8,3,7,4,50,2,N
103,2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50,8,N
104,2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50,8,N
105,2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50,8,N
106,2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50,8,N
107,2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50,8,N
108,2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50,8,N
109,2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50,8,N
110,2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50,8,N
111,2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50,8,N
112,2,3,0,4,0,4,2,0.25,2,1,0,5,1,0,4,1,0,0,8.76,10,875.69,0.03,23,0.1,48.65,87.57,0,1,2,5,0.17,8,15,4,10,12,50,8,N
113,2,3,0,1,0,4,2,0.25,2,1,0,5,1,0,7,1,0,0,7.32,8.17,488.32,0.02,18,0.12,27.13,59.79,0,1,2,5,0.17,7,11,3,7,12,12.5,8,N
114,2,3,0,1,0,4,2,0.25,2,1,0,5,1,0,7,1,0,0,7.32,8.17,488.32,0.02,18,0.12,27.13,59.79,0,1,2,5,0.17,7,11,3,7,12,12.5,8,N
115,2,3,0,1,0,4,2,0.25,2,1,0,5,1,0,7,1,0,0,7.32,8.17,488.32,0.02,18,0.12,27.13,59.79,0,1,2,5,0.17,7,11,3,7,12,12.5,8,N
116,2,3,0,1,0,4,2,0.25,2,1,0,5,1,0,7,1,0,0,7.32,8.17,488.32,0.02,18,0.12,27.13,59.79,0,1,2,5,0.17,7,11,3,7,12,12.5,8,N
117,2,3,0,1,0,4,2,0.25,2,1,0,5,1,0,7,1,0,0,7.32,8.17,488.32,0.02,18,0.12,27.13,59.79,0,1,2,5,0.17,7,11,3,7,12,12.5,8,N
118,2,3,0,1,0,4,2,0.25,2,1,0,5,1,0,7,1,0,0,7.32,8.17,488.32,0.02,18,0.12,27.13,59.79,0,1,2,5,0.17,7,11,3,7,12,12.5,8,N
119,2,3,0,1,0,4,2,0.25,2,1,0,5,1,0,7,1,0,0,7.32,8.17,488.32,0.02,18,0.12,27.13,59.79,0,1,2,5,0.17,7,11,3,7,12,12.5,8,N
120,2,3,0,1,0,4,2,0.25,2,1,0,5,1,0,7,1,0,0,7.32,8.17,488.32,0.02,18,0.12,27.13,59.79,0,1,2,5,0.17,7,11,3,7,12,12.5,8,N
121,2,3,0,1,0,4,2,0.25,2,1,0,5,1,0,7,1,0,0,7.32,8.17,488.32,0.02,18,0.12,27.13,59.79,0,1,2,5,0.17,7,11,3,7,12,12.5,8,N
122,2,3,0,1,0,4,2,0.25,2,1,0,5,1,0,7,1,0,0,7.32,8.17,488.32,0.02,18,0.12,27.13,59.79,0,1,2,5,0.17,7,11,3,7,12,12.5,8,N
123,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,1,1,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,Y
124,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,1,1,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,N
125,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,0,0,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,N
126,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,1,1,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,N
127,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,0,0,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,N
128,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,1,1,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,N
129,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,0,0,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,N
130,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,1,1,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,N
131,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,0,0,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,N
132,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,0,0,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,N
133,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,0,0,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,Y
134,7,1,4,5,6,0,1,0.05,0,1,1,9,1,0,14,1,1,1,46.18,8.5,3336.69,0.13,80,0.12,185.37,392.55,1,0,0,10,0.03,34,46,20,10,34,44,19,N
